SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
LKOH,2007-10-08,7887,S,TRUE,0.0027740930247622,0.0125292400802744,2171,4
LKOH,2007-10-08,7934,B,TRUE,3.999999999999999,0.0312378896753705,2169.55,4
LKOH,2007-10-08,7952,S,TRUE,0.3146375980024903,0.0069940992667004,2171.4,4
LKOH,2007-10-08,7984,S,TRUE,0.0257952776216728,0.047120044337953,2170.94,4
LKOH,2007-10-08,8005,S,TRUE,-19.473684210526315,0.0230380657071242,2170.12,4
LKOH,2007-10-08,8045,S,TRUE,0.0143435162698272,0.0031011418778628,2169.97,4
LKOH,2007-10-08,8066,S,TRUE,-69.43041601229761,0.0026195130088389,2169.95,1
LKOH,2007-10-08,8074,S,TRUE,-43.79438019353426,7.914177138952e-4,2169.97,1
LKOH,2007-10-08,8113,S,TRUE,3.003315324365e-4,0.0012111559897617,2169.94,4
LKOH,2007-10-08,8167,B,TRUE,-1.086092939168e-4,0.0034391634309271,2170,4
LKOH,2007-10-08,8234,B,TRUE,-0.008295160234846,0.001816709705907,2169.95,4
LKOH,2007-10-08,8267,S,TRUE,-4.808685325711683,0.0072593673596544,2168.99,4
LKOH,2007-10-08,8302,B,TRUE,100,6.179269050228e-4,2169.01,3
LKOH,2007-10-08,8310,B,TRUE,0.0028232555930746,0.0033810632597145,2169.12,4
LKOH,2007-10-08,8314,B,TRUE,-0.0018433519511863,0.0013547195754304,2169.96,4
LKOH,2007-10-08,8323,B,TRUE,-0.0271709096268041,6.443571777936e-4,2171.47,4
LKOH,2007-10-08,8350,B,TRUE,8.70288836071874,0.0017602668302689,2171,4
LKOH,2007-10-08,8364,B,TRUE,52.50011525517496,0.0250825958259488,2169.1,3
LKOH,2007-10-08,8418,B,TRUE,0.0247610412027074,0.0026566168637364,2170,4
LKOH,2007-10-08,8458,B,TRUE,-0.0331797235023054,0.0155187743386137,2170,4
LKOH,2007-10-08,8477,S,TRUE,0.0399903801942524,0.0023737980057585,2171.37,4
LKOH,2007-10-08,8505,B,TRUE,100,0.001442890453426,2169.6,3
LKOH,2007-10-08,8511,B,TRUE,9.95018622559348e-5,9.649988882286e-4,2169.9,4
LKOH,2007-10-08,8530,B,TRUE,38.4627158747627,0.0020998164385275,2171.43,4
LKOH,2007-10-08,8537,S,TRUE,-100,0.003113205340299,2171.33,1
LKOH,2007-10-08,8577,S,TRUE,0.0373015763370036,0.0029732680011893,2171.49,4
LKOH,2007-10-08,8595,S,TRUE,-100,0.0061049912811095,2171.52,1
LKOH,2007-10-08,8597,B,TRUE,0.048018867024128,0.0038815150051146,2170.55,4
LKOH,2007-10-08,8655,S,TRUE,-0.107027369554155,0.0013495819443312,2170,4
LKOH,2007-10-08,8668,S,TRUE,-71.25093162507389,0.001556034542037,2172.8,1
LKOH,2007-10-08,8709,B,TRUE,1.9255761606601385,0.0024904063373473,2174.01,4
LKOH,2007-10-08,8729,S,TRUE,-3.212917822709753,0.0042791998568298,2172,4
LKOH,2007-10-08,8748,S,TRUE,-15.712279174204811,0.0284707413986675,2174.5,4
LKOH,2007-10-08,8785,S,TRUE,-0.4915672511079795,0.0017952060105652,2172.01,4
LKOH,2007-10-08,8848,B,TRUE,50.01727274820939,9.048928868264e-4,2171.05,3
LKOH,2007-10-08,8878,S,TRUE,4.604072762866e-4,3.768172389687e-4,2171.99,4
LKOH,2007-10-08,8907,B,TRUE,-0.0036851075590735,0.0157587962973362,2170.9,4
LKOH,2007-10-08,8960,S,TRUE,0.0322461765247751,0.0035088236611258,2170.8,4
LKOH,2007-10-08,8973,S,TRUE,0.0105953187117943,0.0047849068832365,2170.77,4
LKOH,2007-10-08,8990,B,TRUE,94.3407597781746,0.0038645975233567,2169.6,3
LKOH,2007-10-08,8994,S,TRUE,0,0.0045786187055667,2170,4
LKOH,2007-10-08,9071,B,TRUE,-0.0089013521041193,9.518712538904e-4,2170,4
LKOH,2007-10-08,9082,B,TRUE,0.1387390875485016,6.505598705197e-4,2169.54,4
LKOH,2007-10-08,9160,B,TRUE,0.0023036803597511,0.0160871255590674,2170.44,4
LKOH,2007-10-08,9284,B,TRUE,0.0515862780500336,0.0027460760415787,2171.12,4
LKOH,2007-10-08,9317,S,TRUE,0,0.047491923723303,2172.2,4
LKOH,2007-10-08,9373,S,TRUE,0.0062769028515397,0.0285275829995253,2172,4
LKOH,2007-10-08,9376,B,TRUE,0.0023019727906899,0.0018733333630918,2172.05,4
LKOH,2007-10-08,9410,S,TRUE,0.0050644800390484,0.0484187029863213,2171.99,4
LKOH,2007-10-08,9425,S,TRUE,-100,0.0177472952176101,2171.98,1
LKOH,2007-10-08,9503,B,TRUE,0.018893922147838398,0.0040613859130569,2170.01,4
LKOH,2007-10-08,9557,S,TRUE,0.0046044755502306,0.0042716135542606,2171.8,4
LKOH,2007-10-08,9576,S,TRUE,8.038692800221617e-6,0.0019170089129231,2171.01,4
LKOH,2007-10-08,9624,S,TRUE,0.0050652263005027,0.0141979150432525,2171.67,4
LKOH,2007-10-08,9688,S,TRUE,7.985108659584e-4,9.617120441521e-4,2170,4
LKOH,2007-10-08,9694,S,TRUE,-100,0.0136220654126701,2170.95,1
LKOH,2007-10-08,9728,B,TRUE,0.0016755367115301,0.0058901304063467,2170.5,4
LKOH,2007-10-08,9735,S,TRUE,-83.32972272028196,0.012231199480113,2169.53,1
LKOH,2007-10-08,9792,S,TRUE,-0.9844348404363942,0.0031208153095881,2168.88,4
LKOH,2007-10-08,9824,S,TRUE,-91.78530875314442,0.0025246557009344,2168,1
LKOH,2007-10-08,9844,S,TRUE,0.0447617245723317,0.0055931038594024,2167.03,0
LKOH,2007-10-08,9933,B,TRUE,9.150307219610964,0.0425007869988583,2163.67,0
LKOH,2007-10-08,9937,B,TRUE,0.0055498515414662,0.0163859006640896,2162.22,0
LKOH,2007-10-08,9953,B,TRUE,0.2989441088768844,0.0083466013186124,2162.31,0
LKOH,2007-10-08,9987,B,TRUE,0.3970596430658307,0.0010597796361059,2164.41,0
LKOH,2007-10-08,10002,B,TRUE,12.53507194660282,0.0314293706801513,2163.5,0
LKOH,2007-10-08,10035,B,TRUE,100,0.0263256882143992,2163.56,3
LKOH,2007-10-08,10064,B,TRUE,100,0.0100877297081906,2164.81,3
LKOH,2007-10-08,10125,B,TRUE,0.0463007540704879,0.0044947329361801,2165.02,0
LKOH,2007-10-08,10188,B,TRUE,55.55792671179833,0.0130709037412644,2165.5,3
LKOH,2007-10-08,10200,S,TRUE,0.1055923948847668,4.061365824488e-4,2165.56,0
LKOH,2007-10-08,10224,S,TRUE,7.449899426357e-4,0.0018488514701631,2165,0
LKOH,2007-10-08,10229,B,TRUE,2.256719483581373,0.00447223840411,2165.5,0
LKOH,2007-10-08,10251,B,TRUE,100,9.524421603616e-4,2164.41,3
LKOH,2007-10-08,10262,S,TRUE,-1.6177973039728475,0.0037486503342515,2169.98,4
LKOH,2007-10-08,10280,B,TRUE,0.2359044743031295,0.0021869455390763,2168,4
LKOH,2007-10-08,10304,S,TRUE,9.237960627803e-4,1.396909085694e-4,2164.98,0
LKOH,2007-10-08,10381,B,TRUE,0.0143281043455728,0.0019180978196944,2163.58,0
LKOH,2007-10-08,10392,B,TRUE,7.14810650055366,0.0332893787946658,2163.53,0
LKOH,2007-10-08,10406,S,TRUE,-100,0.0033166401943913,2164.8,1
LKOH,2007-10-08,10434,B,TRUE,0.0069330498486326,0.0101141533945916,2163.55,0
