SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
LKOH,2007-10-08,11889,B,TRUE,9.276351796357e-4,0.00766560872285987,2156.02
LKOH,2007-10-08,11936,B,TRUE,0.00155971082716057,6.1557121615016e-4,2157
LKOH,2007-10-08,11985,B,TRUE,0.09179373299150297,0.00237126028000631,2157.01
LKOH,2007-10-08,12064,S,TRUE,-91.55575657329952,0.00169832509014266,2158.7
LKOH,2007-10-08,12177,S,TRUE,-3.1920361383012015,6.2576497757121e-4,2158.48
LKOH,2007-10-08,12199,S,TRUE,-100,0.0096573459806467,2158.47
LKOH,2007-10-08,12209,B,TRUE,47.903747648354816,0.00186698849191502,2158
LKOH,2007-10-08,12239,S,TRUE,0.04421485050654682,0.02756949818960121,2158.4
LKOH,2007-10-08,12250,B,TRUE,0.0164347401751882,0.01974809707816179,2157.3
LKOH,2007-10-08,12340,B,TRUE,1.8842911022468565,0.01467973171540071,2157.1
LKOH,2007-10-08,12346,B,TRUE,0.5237671342034228,0.00159998778660612,2154.5
LKOH,2007-10-08,12353,S,TRUE,-0.14942159619809173,0.00424249873154891,2157.3
LKOH,2007-10-08,12382,S,TRUE,0,0.00324545287856902,2157.22
LKOH,2007-10-08,12384,S,TRUE,-2.866629950312859,0.00238092138251153,2156.98
LKOH,2007-10-08,12404,S,TRUE,-57.847483047949744,0.00324884914518852,2158.4
LKOH,2007-10-08,12408,B,TRUE,-0.00461752348307401,0.00124798346557115,2157.02
LKOH,2007-10-08,12428,B,TRUE,-0.0362544611674987,4.4417541320694e-4,2158
LKOH,2007-10-08,12463,S,TRUE,-90.90491842799456,0.00145324341231431,2156.99
LKOH,2007-10-08,12537,B,TRUE,100,3.0929213512223636e-5,2155.21
LKOH,2007-10-08,12574,B,TRUE,0.02041289723962211,0.00106157001809004,2155.5
LKOH,2007-10-08,12585,B,TRUE,6.8291715960109745,0.00236951924104683,2155.5
LKOH,2007-10-08,12594,B,TRUE,2.80652430290577,0.0051807791762327,2155.6
LKOH,2007-10-08,12598,S,TRUE,-23.162309175069208,2.5844924875307425e-5,2156.89
