,SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
8296,LKOH,2007-10-08,32179,B,T,100.0,0.0003969992333592596,2167.45
8307,LKOH,2007-10-08,32232,S,T,-100.00000000000001,0.0010611345558158706,2168.7
8311,LKOH,2007-10-08,32248,S,T,-49.99077746011252,0.001280485945335208,2168.6
8315,LKOH,2007-10-08,32266,B,T,73.07064432245016,0.003772866781995312,2167.77
8316,LKOH,2007-10-08,32268,S,T,-22.029496151921492,1.791118168860628e-05,2168.5
8320,LKOH,2007-10-08,32280,B,T,0.35795008994880845,0.0013328669312830056,2167.9
8335,LKOH,2007-10-08,32343,B,T,-0.22437385070026158,0.06487533099386578,2195.1
8348,LKOH,2007-10-08,32397,S,T,-3.6761635706226783,0.002451171027939382,2167.88
8351,LKOH,2007-10-08,32416,B,T,9.790220954942896,0.010413565884986715,2167.21
8381,LKOH,2007-10-08,32529,B,T,0.003661074447516427,0.0022853615661465113,2168.4
8390,LKOH,2007-10-08,32553,S,T,0.0015947398513754868,0.007657008553080661,2168.8
8397,LKOH,2007-10-08,32570,B,T,0.04763545849221158,0.0020383476414793157,2168.14
8398,LKOH,2007-10-08,32572,S,T,-1.3419630696365483,0.0039556192851327035,2169.0
8410,LKOH,2007-10-08,32626,B,T,0.059860592850222535,0.009179112871775379,2168.5
8414,LKOH,2007-10-08,32637,S,T,-0.004150162086892659,0.00041129849226365637,2168.59
8430,LKOH,2007-10-08,32690,B,T,19.10238666251837,0.000926302573513629,2167.8
8470,LKOH,2007-10-08,32897,S,T,-100.0,0.010471056416456598,2169.0
8472,LKOH,2007-10-08,32906,B,T,0.06457564575646176,0.02757293809724233,2168.0
8475,LKOH,2007-10-08,32916,B,T,6.010078013106312,0.00414955858873606,2168.83
8491,LKOH,2007-10-08,32998,B,T,0.004610206998290031,0.007440115166354219,2169.1
8494,LKOH,2007-10-08,33024,S,T,-49.977408944213934,0.00929418682459641,2169.0
8500,LKOH,2007-10-08,33087,B,T,0.04640197851774985,0.0030482975510378965,2170.01
8505,LKOH,2007-10-08,33107,S,T,-4.105358203836562,0.0027549871377985052,2169.33
8506,LKOH,2007-10-08,33115,S,T,-34.494295952069045,0.0065660365680477424,2170.98
8517,LKOH,2007-10-08,33155,B,T,0.008096757702731366,0.003376897507671159,2170.2
8518,LKOH,2007-10-08,33158,S,T,-7.1629033557199255,0.0002132750228646501,2170.1
8529,LKOH,2007-10-08,33211,S,T,-100.0,0.0020372339610131734,2170.97
8532,LKOH,2007-10-08,33219,S,T,-100.0,0.0005970269652207339,2170.8
8541,LKOH,2007-10-08,33254,B,T,0.002725906843829711,0.0032905053864653046,2170.02
8548,LKOH,2007-10-08,33270,S,T,-56.33418572430538,0.00012937030736623434,2169.98
8572,LKOH,2007-10-08,33344,S,T,-1.391435229379877,0.0007102087376751386,2169.6
8590,LKOH,2007-10-08,33419,S,T,0.04566144412205513,0.01202662127566651,2168.99
8598,LKOH,2007-10-08,33444,S,T,0.01407612591607109,0.0013984737381962673,2168.8
8618,LKOH,2007-10-08,33528,S,T,-2.914014862433685,0.012761971389533286,2168.0
8630,LKOH,2007-10-08,33584,B,T,1.4668456905445022,0.002473133255579585,2168.61
8639,LKOH,2007-10-08,33612,B,T,-5.777724802385715e-05,0.0034880228853194,2168.0
8655,LKOH,2007-10-08,33696,B,T,0.1468214536535825,0.0017886036090575342,2169.26
8658,LKOH,2007-10-08,33702,B,T,1.0028774933507598,0.043512563712190075,2168.0
8661,LKOH,2007-10-08,33708,B,T,83.92479139234081,0.0007908586440008064,2167.3
8670,LKOH,2007-10-08,33743,S,T,-6.743798522952091,0.000703671729619952,2168.03
8681,LKOH,2007-10-08,33801,B,T,20.0,0.005936375187327987,2168.9
8687,LKOH,2007-10-08,33827,B,T,0.004612333379452473,0.00035624406786589007,2168.1
8706,LKOH,2007-10-08,33932,S,T,0.04599907585896002,0.017355368814689034,2170.99
8719,LKOH,2007-10-08,33969,S,T,-1.7675810326615662,0.0019016118131982955,2169.0
8744,LKOH,2007-10-08,34076,S,T,-4.8256690971004685,0.004059166044470159,2169.01
8745,LKOH,2007-10-08,34090,S,T,-100.0,0.0007713919914860527,2171.2
8760,LKOH,2007-10-08,34152,B,T,23.17856176440468,0.004478461828295532,2171.0
8771,LKOH,2007-10-08,34196,S,T,-0.0032910014513838196,0.003828112188071765,2170.2
8772,LKOH,2007-10-08,34201,B,T,25.725165940741956,0.0017029283932938346,2169.8
8779,LKOH,2007-10-08,34236,B,T,99.99999999999999,0.0020792940251173823,2168.72
8813,LKOH,2007-10-08,34348,B,T,0.00109151266580796,0.041110589946263425,2169.0
8837,LKOH,2007-10-08,34438,B,T,2.6113861283052344,0.04439581094535662,2170.0
8870,LKOH,2007-10-08,34631,B,T,100.0,0.010865732778194623,2166.08
8875,LKOH,2007-10-08,34647,S,T,0.005076165556838165,0.01297800350676082,2166.99
8894,LKOH,2007-10-08,34731,B,T,0.015240171244102619,0.004035422350157718,2165.33
8895,LKOH,2007-10-08,34736,B,T,0.02252100083327703,0.001949734213513908,2166.0
8897,LKOH,2007-10-08,34748,B,T,2.6718484213129194,0.004965904221726303,2166.5
8901,LKOH,2007-10-08,34758,B,T,0.012040088631013761,0.004338801084437019,2165.35
8904,LKOH,2007-10-08,34772,S,T,-0.7983928531058222,0.009092125930811691,2166.69
8906,LKOH,2007-10-08,34779,B,T,1.236308081503562,0.0003927591712171623,2166.01
8919,LKOH,2007-10-08,34819,B,T,100.00000000000001,0.00021190453980161748,2165.51
8925,LKOH,2007-10-08,34842,S,T,-0.3800184991082288,0.0010304330373564212,2166.08
8927,LKOH,2007-10-08,34849,S,T,-0.024012708264065066,0.006128033115563269,2165.52
8932,LKOH,2007-10-08,34860,S,T,-1.0,0.005082605524724731,2166.01
8933,LKOH,2007-10-08,34865,B,T,-9.141274238426681e-05,0.0030511597517856185,2166.0
8934,LKOH,2007-10-08,34870,B,T,0.004155892131496619,0.006762275953511729,2165.6
8954,LKOH,2007-10-08,34958,B,T,100.0,0.017014542889745726,2165.51
8960,LKOH,2007-10-08,34984,B,T,0.009920683416276617,0.0008639965212965916,2166.06
8986,LKOH,2007-10-08,35111,S,T,2.3077633689974773e-06,0.0055208452287762175,2166.6
8996,LKOH,2007-10-08,35149,B,T,-0.10091384096058961,0.0007799290400863025,2165.0
9002,LKOH,2007-10-08,35185,B,T,0.40663749150763906,0.01450327955705736,2165.26
9007,LKOH,2007-10-08,35201,B,T,2.526762849906347,0.0011372750337704926,2166.0
9015,LKOH,2007-10-08,35232,S,T,-28.571428571428566,0.0027270832936582483,2166.11
9061,LKOH,2007-10-08,35406,B,T,0.0014301372684825545,0.008194221939976909,2167.2
9076,LKOH,2007-10-08,35471,B,T,1.4188387754221221,0.001052245617159083,2167.09
